dataset,n_reference,n_test,n_anomaly,anomaly_prevalence,auroc,auprc,f1_oracle_prevalence,seed,context_size,projections,condition,projection_strategy,fit_seconds,score_seconds,total_seconds,cold_start
breastw,222,461,239,0.5184381778741866,0.9952127860077651,0.995172854704019,0.9790794979079498,3,200,8,evenly_spaced_seed3,evenly_spaced,0.0007370420498773456,11.567334541934542,11.56807158398442,False
WDBC,178,189,10,0.05291005291005291,1.0,0.9999999999999999,1.0,3,178,8,evenly_spaced_seed3,evenly_spaced,0.0005478749517351389,12.606223333976232,12.606771208927967,False
Parkinson,24,171,147,0.8596491228070176,0.731859410430839,0.9469746899008703,0.8843537414965986,3,24,8,evenly_spaced_seed3,evenly_spaced,0.0006022090092301369,7.748067083070055,7.748669292079285,False
lympho,71,77,6,0.07792207792207792,0.9694835680751174,0.7436868686868686,0.6666666666666666,3,71,8,evenly_spaced_seed3,evenly_spaced,0.0005941659910604358,7.061929416959174,7.062523582950234,False
wbc,178,200,21,0.105,0.9672785315243416,0.8515952579862358,0.7619047619047619,3,178,8,evenly_spaced_seed3,evenly_spaced,0.0005740419728681445,12.656009375001304,12.656583416974172,False
glass,102,112,9,0.08035714285714286,0.639697950377562,0.15584687315551712,0.1111111111111111,3,102,8,evenly_spaced_seed3,evenly_spaced,0.0005667080404236913,7.071434208075516,7.07200091611594,False
ionosphere,112,239,126,0.5271966527196653,0.9558926815563983,0.9689663390174068,0.8888888888888888,3,112,8,evenly_spaced_seed3,evenly_spaced,0.0004845409421250224,12.938474208000116,12.938958748942241,False
satimage-2,2866,2937,71,0.02417432754511406,0.9976509440452905,0.9701373371672395,0.9295774647887324,3,200,8,evenly_spaced_seed3,evenly_spaced,0.0011685830540955067,118.22033758403268,118.22150616708677,False
SpamBase,1264,2943,1679,0.5705062861026163,0.7745611274040455,0.8134180709086755,0.7385348421679571,3,200,8,evenly_spaced_seed3,evenly_spaced,0.0009655840694904327,159.52797962503973,159.52894520910922,False
shuttle,22793,26304,3511,0.13347779805352797,0.9985960102103032,0.990817510387936,0.9703788094559954,3,200,8,evenly_spaced_seed3,evenly_spaced,0.00375316699501127,664.1677608749596,664.1715140419547,False
campaign,18274,22914,4640,0.20249629047743736,0.7926257286119719,0.5030632394280843,0.5288793103448276,3,200,8,evenly_spaced_seed3,evenly_spaced,0.016886041034013033,1370.4824129170738,1370.4992989581078,False
Hepatitis,33,47,13,0.2765957446808511,0.8212669683257918,0.6580530271706744,0.6923076923076923,4,33,8,evenly_spaced_seed4,evenly_spaced,1.1919005840318277,7.187802082975395,8.379702667007223,True
pima,250,518,268,0.5173745173745173,0.7568955223880598,0.7642643269655616,0.7126865671641791,4,200,8,evenly_spaced_seed4,evenly_spaced,0.0005894999485462904,22.57513741601724,22.575726915965788,False
thyroid,1839,1933,93,0.04811174340403518,0.9780563347358578,0.7817827903422496,0.7096774193548387,4,200,6,evenly_spaced_seed4,evenly_spaced,0.0013917089672759175,35.45760404097382,35.458995749941096,False
breastw,222,461,239,0.5184381778741866,0.996588638848053,0.9966022807533617,0.9790794979079498,4,200,8,evenly_spaced_seed4,evenly_spaced,0.0006163750076666474,13.021895125042647,13.022511500050314,False
WDBC,178,189,10,0.05291005291005291,1.0,0.9999999999999999,1.0,4,178,8,evenly_spaced_seed4,evenly_spaced,0.0006067089270800352,13.389670375036076,13.390277083963156,False
Parkinson,24,171,147,0.8596491228070176,0.731859410430839,0.9469746899008703,0.8843537414965986,4,24,8,evenly_spaced_seed4,evenly_spaced,0.0004520840011537075,8.329496958991513,8.329949042992666,False
lympho,71,77,6,0.07792207792207792,0.9694835680751174,0.7436868686868686,0.6666666666666666,4,71,8,evenly_spaced_seed4,evenly_spaced,0.0005301249912008643,7.437738167005591,7.438268291996792,False
wbc,178,200,21,0.105,0.9672785315243416,0.8515952579862358,0.7619047619047619,4,178,8,evenly_spaced_seed4,evenly_spaced,0.0006072910036891699,12.397078083944507,12.397685374948196,False
glass,102,112,9,0.08035714285714286,0.639697950377562,0.15584687315551712,0.1111111111111111,4,102,8,evenly_spaced_seed4,evenly_spaced,0.0005392919993028045,7.054325499921106,7.054864791920409,False
ionosphere,112,239,126,0.5271966527196653,0.9558926815563983,0.9689663390174068,0.8888888888888888,4,112,8,evenly_spaced_seed4,evenly_spaced,0.0008029999444261193,13.283507250016555,13.284310249960981,False
satimage-2,2866,2937,71,0.02417432754511406,0.9943927346353066,0.9047397944381437,0.8028169014084507,4,200,8,evenly_spaced_seed4,evenly_spaced,0.0021748750004917383,123.26849999988917,123.27067487488966,False
SpamBase,1264,2943,1679,0.5705062861026163,0.8061336615375337,0.8438128079053451,0.7677188802858844,4,200,8,evenly_spaced_seed4,evenly_spaced,0.0011803749948740005,168.36328483303078,168.36446520802565,False
shuttle,22793,26304,3511,0.13347779805352797,0.9989902434855634,0.9922130138632679,0.9831956707490743,4,200,8,evenly_spaced_seed4,evenly_spaced,0.029798666946589947,690.1453335420229,690.1751322089694,False
campaign,18274,22914,4640,0.20249629047743736,0.7252845042230718,0.4652065225026971,0.49094827586206896,4,200,8,evenly_spaced_seed4,evenly_spaced,0.012386083020828664,1705.507415042026,1705.5198011250468,False
